iter	Passed	Remaining
0	0	97
1	1	95
2	2	86
3	3	88
4	4	84
5	5	89
6	6	86
7	7	84
8	8	82
9	9	83
10	10	84
11	11	83
12	12	83
13	13	81
14	14	79
15	14	77
16	15	76
17	16	74
18	17	73
19	17	71
20	18	70
21	19	70
22	20	69
23	21	67
24	22	66
25	22	64
26	23	63
27	24	62
28	24	61
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	31	52
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	27
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	22
72	59	22
73	60	21
74	61	20
75	61	19
76	62	18
77	63	17
78	64	17
79	64	16
80	65	15
81	66	14
82	67	13
83	68	12
84	68	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	76	4
95	77	3
96	77	2
97	78	1
98	79	0
99	79	0
